Model,Params,Epoch,TrainLoss,ValLoss,P,R,Acc,F1,FPR,FNR
EDRN-Uni,3243777,26,0.00150683931245182,0,0.9667487684729064,0.9718353450943981,0.9695904645476773,0.9692853835468437,0.03259885300332025,0.02816465490560198
EDRN-Uni,3243777,27,0.002673053869959683,0,0.9650413983440662,0.9740018570102136,0.9697432762836186,0.9695009242144177,0.034409900392393604,0.025998142989786442
EDRN-Uni,3243777,28,0.0012504771136893677,0,0.9759600374648767,0.9675023212627669,0.9721882640586798,0.9717127758781473,0.02324177482644129,0.032497678737233054
EDRN-Uni,3243777,29,0.0011391059776472573,0,0.9723516620068344,0.9687403280718044,0.9709657701711492,0.9705426356589147,0.026863869604587986,0.031259671928195606
EDRN-Uni,3243777,30,0.0007836519225048295,0,0.975854499843211,0.9631692974311359,0.9700488997555012,0.9694704049844237,0.02324177482644129,0.03683070256886413
EDRN-Uni,3243777,31,0.0007113841549233677,0,0.9740625,0.9647168059424327,0.96989608801956,0.9693671279738766,0.02505282221551464,0.035283194057567316
EDRN-Uni,3243777,32,0.0006499335342176402,0,0.9722482070470845,0.965026307644692,0.9691320293398533,0.968623796210003,0.026863869604587986,0.03497369235530796
EDRN-Uni,3243777,33,0.0006031574957887642,0,0.9782677165354331,0.9613122872175797,0.9703545232273839,0.9697158913518577,0.020827044974343494,0.0386877127824203
EDRN-Uni,3243777,34,0.0005571334594815897,0,0.9707802300279764,0.9665738161559888,0.9691320293398533,0.9686724565756824,0.02837307576214911,0.033426183844011144
EDRN-Uni,3243777,35,0.0005731913300293784,0,0.9758847478860007,0.9644073042401733,0.9706601466992665,0.9701120797011208,0.02324177482644129,0.03559269575982668
EDRN-Uni,3243777,36,0.0005304166675509455,0,0.976205385097057,0.965026307644692,0.9711185819070904,0.9705836575875486,0.022939933594929067,0.03497369235530796
EDRN-Uni,3243777,37,0.0005041338870516763,0,0.9785691774346045,0.9610027855153204,0.9703545232273839,0.9697064334790756,0.02052520374283127,0.03899721448467967
EDRN-Uni,3243777,38,0.0005569216966530523,0,0.9650628256205945,0.9746208604147323,0.9700488997555012,0.9698182938096704,0.034409900392393604,0.025379139585267718
EDRN-Uni,3243777,39,0.0005607044675763553,0,0.9703153988868275,0.9712163416898792,0.9711185819070904,0.9707656612529002,0.02897675822517356,0.028783658310120707
EDRN-Uni,3243777,40,0.0005058509677138107,0,0.9747033104309807,0.9659548127514701,0.9708129584352079,0.9703093424529768,0.02444913975249019,0.03404518724852987
EDRN-Uni,3243777,41,0.00047598085592863546,0,0.975,0.9656453110492108,0.9708129584352079,0.9703001088477686,0.024147298520977967,0.034354688950789226
EDRN-Uni,3243777,42,0.00046518758160975546,0,0.9750156152404748,0.9662643144537295,0.9711185819070904,0.970620239390642,0.024147298520977967,0.0337356855462705
EDRN-Uni,3243777,43,0.000453891903397072,0,0.9747112082422729,0.9662643144537295,0.9709657701711492,0.9704693814112527,0.02444913975249019,0.0337356855462705
EDRN-Uni,3243777,44,0.000441949107950607,0,0.9753047827446076,0.9656453110492108,0.9709657701711492,0.9704510108864697,0.02384545728946574,0.034354688950789226
EDRN-Uni,3243777,45,0.0004341335914852187,0,0.9762202753441802,0.9656453110492108,0.9714242053789731,0.9709039987552512,0.022939933594929067,0.034354688950789226
EDRN-Uni,3243777,46,0.0004303354345700847,0,0.9765258215962441,0.9656453110492108,0.9715770171149144,0.9710550887021475,0.022638092363416844,0.034354688950789226
EDRN-Uni,3243777,47,0.000428018933374775,0,0.9768315591734502,0.9656453110492108,0.9717298288508558,0.9712062256809338,0.022336251131904617,0.034354688950789226
EDRN-Uni,3243777,48,0.0004250252092718326,0,0.9762202753441802,0.9656453110492108,0.9714242053789731,0.9709039987552512,0.022939933594929067,0.034354688950789226
EDRN-Uni,3243777,49,0.00042486500219988206,0,0.9765258215962441,0.9656453110492108,0.9715770171149144,0.9710550887021475,0.022638092363416844,0.034354688950789226
EDRN-Uni,3243777,50,0.00042358772659029526,0,0.9765258215962441,0.9656453110492108,0.9715770171149144,0.9710550887021475,0.022638092363416844,0.034354688950789226
EDRN-NoDelay,3472897,1,0.6833111735490652,0,0.5650940049663001,0.49303621169916434,0.5623471882640587,0.5266115702479339,0.3700573498339873,0.5069637883008357
EDRN-NoDelay,3472897,2,0.6472386832420642,0,0.6832633473305338,0.7050448777468276,0.6930012224938875,0.693983244478294,0.31874434047690914,0.2949551222531724
EDRN-NoDelay,3472897,3,0.49027311687286085,0,0.8046804680468047,0.83008356545961,0.8166259168704156,0.8171846435100548,0.1964986417144582,0.16991643454038996
EDRN-NoDelay,3472897,4,0.3312095028276627,0,0.9060665362035225,0.8597957288765088,0.8867665036674817,0.8823249166269652,0.08693027467552068,0.14020427112349118
EDRN-NoDelay,3472897,5,0.2292992934011496,0,0.9061469265367317,0.9353141442277932,0.9202322738386308,0.9204995431008224,0.09447630546332629,0.06468585577220674
EDRN-NoDelay,3472897,6,0.15468797660790956,0,0.9437324163801187,0.9343856391210151,0.9400977995110025,0.9390357698289269,0.054331421672200425,0.06561436087898484
EDRN-NoDelay,3472897,7,0.10375131888744923,0,0.9347242921013413,0.9705973382853605,0.9520171149144254,0.9523231096264804,0.06610322970117719,0.02940266171463943
EDRN-NoDelay,3472897,8,0.07167627325711343,0,0.9686793671294801,0.9285051067780873,0.9498777506112469,0.9481668773704172,0.029278599456685782,0.07149489322191271
EDRN-NoDelay,3472897,9,0.05735401931003882,0,0.980423620025674,0.9455277004023522,0.9637836185819071,0.9626595241846542,0.018412315122245698,0.05447229959764779
EDRN-NoDelay,3472897,10,0.04695038222528707,0,0.9535304767652384,0.9780253791395853,0.9656173594132029,0.9656226126814362,0.04648354965288258,0.021974620860414733
EDRN-NoDelay,3472897,11,0.02531547619638821,0,0.9756944444444444,0.9566697616836892,0.9668398533007335,0.9660884513205188,0.02324177482644129,0.04333023831631074
EDRN-NoDelay,3472897,12,0.022624714273171358,0,0.9175050301810865,0.9879294336118849,0.9501833740831296,0.9514157973174366,0.08662843344400845,0.012070566388115135
EDRN-NoDelay,3472897,13,0.014740966766392095,0,0.9832203936753792,0.9430516867842773,0.9639364303178484,0.9627172195892575,0.01569574403863568,0.05694831321572268
EDRN-NoDelay,3472897,14,0.010716105352352874,0,0.9794887977279899,0.960693283813061,0.9706601466992665,0.97,0.019619680048294598,0.039306716186939025
EDRN-NoDelay,3472897,15,0.005591879520439901,0,0.9634257848217007,0.9783348808418446,0.9709657701711492,0.9708230958230958,0.03622094778146695,0.02166511915815537
EDRN-NoDelay,3472897,16,0.0058712615746816695,0,0.8969476337160459,0.9913339523367378,0.9394865525672371,0.9417818288738606,0.11107757319649864,0.008666047663262148
EDRN-NoDelay,3472897,17,0.008999019589212436,0,0.9812161731932506,0.953884246363355,0.9682151589242054,0.9673571876961707,0.01780863265922125,0.046115753636645
EDRN-NoDelay,3472897,18,0.004916558056440688,0,0.9753510140405616,0.9675023212627669,0.9718826405867971,0.9714108141702921,0.02384545728946574,0.032497678737233054
EDRN-NoDelay,3472897,19,0.001116041055865935,0,0.9615267175572519,0.9746208604147323,0.9682151589242054,0.9680295112204119,0.038031995170540296,0.025379139585267718
EDRN-NoDelay,3472897,20,0.0005335655767584495,0,0.9782745591939547,0.9616217889198391,0.9705073349633252,0.96987669736226,0.020827044974343494,0.03837821108016094
EDRN-NoDelay,3472897,21,0.0001249235243239337,0,0.9777986241400876,0.9678118229650263,0.973257946210269,0.972779592471613,0.021430727437367944,0.03218817703497369
